# Root-build CHEAT warning inventory, 2026-08-27
# Format: source-file|theorem-or-definition
# These are the 131 Saved CHEAT records emitted while compiling the root
# dependency closure from clean source-triggered theory builds.
venom/passes/lower_dload/lowerDloadCorrectnessScript.sml|lower_dload_preserves_wf_function
venom/passes/mem2var/mem2varCorrectnessScript.sml|m2v_preserves_ssa_form
venom/passes/mem2var/mem2varCorrectnessScript.sml|m2v_preserves_wf_function
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|bp_fixpoint_drestrict_or_match
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|bp_ptr_sound_exec_block_gen
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|bp_ptr_sound_step_non_invoke
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|copy_elision_function_correct_proof
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|lse_inv_preserved
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|lse_pointwise_hyps
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|stage1_correct
venom/passes/memory_copy_elision/proofs/memoryCopyElisionProofsScript.sml|stage2_correct
venom/passes/readonly_invoke_copy_fwd/proofs/readonlyInvokeCopyFwdProofsScript.sml|ricf_pass_correct
venom/passes/remove_unused/proofs/removeUnusedCorrectnessProofsScript.sml|remove_unused_cross_ctx_fn_equiv
venom/passes/remove_unused/proofs/removeUnusedCorrectnessProofsScript.sml|remove_unused_function_correct
venom/passes/remove_unused/proofs/removeUnusedCorrectnessProofsScript.sml|remove_unused_pass_correct
venom/passes/remove_unused/proofs/removeUnusedFnProofsScript.sml|remove_unused_function_correct_ssa
venom/passes/remove_unused/proofs/removeUnusedStructProofsScript.sml|rusp_preserves_all
venom/passes/remove_unused/proofs/removeUnusedStructProofsScript.sml|rusp_preserves_alloca_pointer_confined
venom/passes/remove_unused/removeUnusedCorrectnessScript.sml|remove_unused_function_correct
venom/passes/remove_unused/removeUnusedCorrectnessScript.sml|remove_unused_pass_correct
venom/passes/revert_to_assert/rtaCorrectnessScript.sml|rta_preserves_ssa_form
venom/passes/revert_to_assert/rtaCorrectnessScript.sml|rta_preserves_wf_function
venom/passes/shared/passSharedPropsScript.sml|copy_fwd_read_equiv
venom/passes/shared/passSharedPropsScript.sml|copy_fwd_rel_preserved_identical_inst
venom/passes/shared/passSharedPropsScript.sml|copy_fwd_terminator_equiv
venom/passes/shared/passSharedPropsScript.sml|copy_fwd_write_equiv
venom/passes/shared/proofs/copyFwdEquivScript.sml|copy_fwd_read_equiv
venom/passes/shared/proofs/copyFwdEquivScript.sml|copy_fwd_rel_preserved_identical_inst
venom/passes/shared/proofs/copyFwdEquivScript.sml|copy_fwd_terminator_equiv
venom/passes/shared/proofs/copyFwdEquivScript.sml|copy_fwd_write_equiv
venom/passes/simplify_cfg/defs/simplifyCfgDefsScript.sml|collapse_dfs_def
venom/passes/simplify_cfg/defs/simplifyCfgDefsScript.sml|collapse_dfs_ind
venom/passes/simplify_cfg/proofs/simplifyCfgProofScript.sml|simplify_cfg_fn_correct
venom/passes/simplify_cfg/simplifyCfgCorrectnessScript.sml|simplify_cfg_establishes_all_reachable
venom/passes/simplify_cfg/simplifyCfgCorrectnessScript.sml|simplify_cfg_pass_correct
venom/passes/simplify_cfg/simplifyCfgCorrectnessScript.sml|simplify_cfg_preserves_ssa_form
venom/passes/simplify_cfg/simplifyCfgCorrectnessScript.sml|simplify_cfg_preserves_wf_function
venom/passes/single_use_expansion/singleUseExpansionCorrectnessScript.sml|sue_preserves_ssa_form
venom/passes/single_use_expansion/singleUseExpansionCorrectnessScript.sml|sue_preserves_wf_function
venom/passes/tail_merge/tailMergeCorrectnessScript.sml|tail_merge_pass_correct
venom/passes/tail_merge/tailMergeCorrectnessScript.sml|tail_merge_preserves_ssa_form
venom/passes/tail_merge/tailMergeCorrectnessScript.sml|tail_merge_preserves_wf_function
venom/proofs/execEquivProofsScript.sml|run_function_result_equiv_closed
venom/props/execEquivPropsScript.sml|run_function_result_equiv_closed
